name,status
Kortanius Sabeleake," Mantan Wakil Bupati Kepulauan Mentawai"
Rijel Samaloisa," Mantan Wakil Bupati Kepulauan Mentawai"
Binsar Saleleubaja," Kepala Dinas Kehutanan Kabupaten Kepulauan Mentawai (2014—2016)"
Ibrani Sababalat," Anggota DPRD Kepulauan Mentawai"
