name
Bagus Selo Ketua DPRD Kabupaten Karanganyar.
Rober Christanto (Wakil Bupati Karanganyar) periode 2018—2023.
Adhe Eliana Ketua DPC Partai Gerindra.
Rinto Subekti anggota DPR RI periode 2009-2014
Anung Indro Susanto
Tony Hatmoko Wakil Ketua DPRD Karanganyar dari PKB.
