name,status
Affan Alfian," Wali Kota Subulussalam"
Salmaza," Wakil Wali Kota Subulussalam"
Sudirman Munthe," Ketua DPW Partai Aceh Kota Subulussalam"
Musmuliadi," Ketua DPW Partai Nanggroe Aceh Kota Subulussalam"
