name,status
Ahmad Dawami," Mantan Bupati Madiun"
Hari Wuryanto," Mantan Wakil Bupati Madiun"
Rio Wing Dinaryhadi," Ketua DPC Partai Gerindra Kabupaten Madiun"
Bagus Rizki Dinarwan," Ketua DPD Golkar Kota Madiun"
Yohanes Ristu Nugroho," Anggota DPRD Jatim"
Bayu Airlangga," Politisi Golkar"
Ferdian Timur Satyagraha," Direktur Keuangan dan Perencanaan Strategis PT. Pegadaian"
Fery Sudarsono," Ketua DPRD Kabupaten Madiun"
Mujono," Wakil Ketua III DPRD Kabupaten Madiun"
