name,status
Acep Purnama," Bupati Kuningan"
Ridho Suganda," Wakil Bupati Kuningan"
Ujang Kosasih," Ketua DPC PKB Kabupaten Kuningan"
Dede Ismail," Ketua DPC Gerindra Kabupaten Kuningan"
Rokhmat Ardiyan,
Toto Hartono," Ketua DPC Demokrat Kabupaten Kuningan"
Asep SM Ketua DPC Golkar Kabupaten Kuningan,
