name

Patahuddin
Kolonel Inf Agussalim Ketua Kababinmin vetcaddam XIV Hasanuddin
Andi Tenri Karta
Darwis Ismail
Rusli Sunali
Andi Muhammad Arham Basmin
Wahyu Napeng
Lahmuddin
Hayarna Basmin
Fadriaty A.S.
Husmaruddin
Buhari Kahar Mudzakkar
Harby Syam
Saifuddin Kasim
Brigjen TNI (Purn.) Muslimin Akib
H Harbi Syam Mantan Legislator Papua Barat PERIODE 2014 - 2019
