name,status
Merlan Uloli," Wakil Bupati Bone Bolango"
Ismet Mile," Mantan Bupati Bone Bolango"
Mohamad Kilat Wartabone," Mantan Wakil Bupati Bone Bolango"
Elnino M. Husein Mohi," Anggota DPR-RI"
Rama Datau," Mantan Ketua Umum BPD HIPMI Jaya"
