name,status
Suprawoto," Mantan Bupati Magetan"
Nanik Endang Rusminarti," Mantan Wakil Bupati Magetan"
Suyatni Priasmoro," Anggota DPRD Jatim"
Nanik Karsini," Sekretaris KPU Provinsi Jawa Timur"
Sujatno," Ketua DPRD Kabupaten Magetan"
Nur Wahid," Wakil Ketua DPRD II Kabupaten Magetan"
Suratman," Wakil Ketua DPRD III Kabupaten Magetan"
Mohyar," Anggota Ketua DPRD Kabupaten Magetan"
Arief Rahman," Ketua Harian Komite Komunikasi Digital Jawa Timur"
