name,status
Gibran Rakabuming Raka," Wali Kota Surakarta"
Kaesang Pangarep," Ketua Umum PSI"
Teguh Prakosa," Wakil Wali Kota Surakarta"
Achmad Purnomo," Mantan Wakil Wali Kota Surakarta"
