name,status
Abdul Rauf Malaganni," Wakil Bupati Gowa"
Amir Uskara," Anggota DPR RI"
Darmawangsyah Muin," Wakil Ketua II	DPRD Sulsel"
Musadar Mappasomba," Mantan Wakil Bupati Kendari"
Tenri Olle Yasin Limpo," Mantan Anggota DPRD Sulsel"
Husniah Talenrang," Ketua DPC PAN Gowa"
