name,status
Salwa Arifin," Bupati Bondowoso"
Irwan Bachtiar Rachmat," Wakil Bupati Bondowoso"
Ahmad Dhafir," Ketua DPRD Kabupaten Bondowoso"
Ubaidillah," Anggota DPRD Jatim"
KH. Abdul Malik Sanusi," Mantan Ketua DPD Partai Nasdem Kabupaten Bondowoso"
Irwan Setiawan," Ketua DPW PKS Jawa Timur"
Fauzi Cahyo Purnomo," Kepala Desa Balet Baru"
