name,status
Muhammad Fadhil Arief," Bupati Batanghari"
Hasbi Anshory," Anggota DPR RI"
Muchlis A.S.," Purnawirawan Polri"
Bakhtiar," Wakil Bupati Batanghari"
Muhammad Azan," Sekda Batanghari"
M Hafiz Fattah," Ketua DPD PAN Batanghari dan Anak Mantan Bupati Batanghari"
Yunninta Asmara," Mantan Ketua TP-PKK Batanghari dan Istri Mantan Bupati Batanghari"
Muhammad Jaafar," Wakil Ketua DPRD Batanghari"
Ardian Faisal," Mantan Wakil Bupati Batanghari"
Elpisina," Anggota DPRD Prov Jambi"
