name,status
Muzakkar A. Gani," Mantan Bupati Bireuen"
Ruslan M. Daud," Anggota DPR-RI"
Darwis Jeunieb," mantan Panglima GAM wilayah Batee Iliek"
Husaini M. Amin," mantan Panglima GAM wilayah Batee Iliek"
Samsul Bahri Ben Amiren (Tiyong)," Mantan Anggota DPR Aceh"
Salahuddin (Toke Din)," Ketua DPW Partai Nanggroe Aceh Kabupaten Bireuen"
