name,status
Nana Suryana," Wakil Wali Kota Banjar"
Darmadji Prawirasetia," Mantan Wakil Wali Kota Banjar"
Maman Suryaman," Mantan Cawalkot 2018"
Akhmad Dimyati," Mantan Wakil Wali Kota Banjar"
Dadang Ramdhan Kalyubi," Ketua DPRD Kota Banjar"
Dian Sardiana," Anggota DPRD Kota Banjar"
Tri Pamuji Rudianto," Wakil Ketua I DPRD Kota Banjar"
Sutarno.," Ketua DPC Partai Gerindra Kota Banjar"
