name,status
Muhammad Lutfi," Wali Kota Bima"
Feri Sofiyan," Wakil Wali Kota Bima"
A. Rahman H. Abidin," Mantan Wakil Wali Kota Bima"
Syamsurih," Wakil I Ketua DPRD Kota Bima"
Alfian Indrawirawan," Ketua DPRD Kota Bima"
Khalid bin Walid," Ketua DPC Partai Gerindra Kota Bima"
Syamsuddin," Ketua DPC PBB Kota Bima"
Syamsuddin Majid," Anggota DPRD NTB"
Syafriansar," Ketua DPC PPP Kota Bima"
