name,status
I Made Agus Mahayastra," Bupati Gianyar"
I Kadek Diana," Anggota DPRD Bali"
Tjok Gde Asmara Putra Sukawati," Anggota DPRD Bali"
I Nyoman Parta," Anggota DPR RI"
Brigjen. Pol. (Purn.) Drs. Gde Sugianyar Dwi Putra," Mantan Wakapolda Sulteng"
Tjokorda Raka Kerthyasa," Mantan Cabup Gianyar 2018"
Ida Bagus Gaga Adi Saputra," Mantan Sekda Gianyar"
