name,status
Eminus Mom," anggota DPRD Kabupaten Mimika periode 2019-2024 dan Ketua DPD Partai Gerindra Kabupaten Mimika.[3][4]"
Anton Bukaleng," Ketua DPRD Kabupaten Mimika periode 2022-2024 dan kader Partai Golkar.[5]"
Nurman Karupukaro," Ketua Fraksi Partai Gerindra DPRD Kabupaten Mimika periode 2019-2024.[6]"
