name,status
Said Hidayat," Bupati Boyolali"
Wahyu Irawan," Wakil Bupati Boyolali"
Marsono," Ketua DPRD Kab"
Susetya Kusuma Dwi Hartanta," Anggota DPRD Kab. Boyolali"
H. Fuadi," Wakil Ketua I DPRD Kab"
Dwi Purwanto," Ketua DPC Demokrat Boyolali"
Tugiman," Mantan Wakil Ketua DPRD Kab"
M. Sunandar Yuwono," Advokad"
Nur Arifin," Ketua DPD PKS Boyolali"
