name,status
Budi Utomo," Bupati Lampung Utara"
Zainal Abidin," Mantan Bupati Lampung Utara"
Endah Kartika Prajawati," Mantan Ketua TP PKK Lampung Utara"
Wansori," Ketua DPRD Lampung Utara"
Madri Daud," Wakil Ketua I DPRD Lampung Utara"
Imam Syuhada," Anggota DPRD Prov. Lampung"
Yose Rizal," Anggota DPRD Prov. Lampung"
Mardani Umar," Anggota DPRD Prov. Lampung"
Ardian Saputra," Mantan Wakil Bupati Lampung Utara"
