name,status
Rahma," Wali Kota Tanjungpinang"
Lis Darmansyah," Mantan Wali kota Tanjungpinang"
Maya Suryanti," Putri Mantan Wali kota Tanjungpinangg"
Endang Abdullah," Wakil Wali Kota Tanjungpinang"
Asman," Anggota DPRD Kota Tanjungpinang"
Ade Angga," Mantan Wakil Ketua I DPRD Kota Tanjungpinang"
Ismiyati," Anggota DPRD Kota Tanjungpinang"
Teddy Jun Askara," Anggota DPRD Kepri"
M Syahrial," Mantan Anggota DPRD Kota Tanjungpinang"
