name,status
Mulkan," Bupati Bangka"
Tarmizi Saat," Mantan Bupati Bangka"
Herman Suhadi," Ketua DPRD Babel"
Matzan," Anggota DPRD Babel"
Yusroni Yazid," Mantan Bupati Bangka"
M. Taufik Koriyanto," Wakil Ketua I DPRD Bangka"
Imelda," Anggota DPRD Bangka"
Junaedi Surya," Anggota DPRD Bangka"
