name,status
Fadly Amran," Wali Kota Padang Panjang"
Asrul," Wakil Wali Kota Padang Panjang"
Masrizal Munaf," Caleg DPR RI 2019"
Nasrullah Nukman," Anggota DPRD Kota Padangpanjang"
Weno Aulia Durin," pengusaha"
Sonny Jendriza Idroes,
