name,status
Anwar Hasyim," Wakil Bupati Karimun"
H. Raja Bakhtiar," S.Ag."
T.S. Arif Fadillah," Kepala Dinas Kelautan dan Perikanan (DKP) Provinsi Kepri"
Huzrin Hood," Mantan Bupati Kepulauan Riau"
Iskandarsyah," Mantan Cabup Karimun 2020"
Muhammad Yusuf Sirat," Ketua DPRD Kab. Karimun"
Firmansyah," Sekretaris Daerah Pemkab Karimun"
Sabari Basirun," Tokoh Karimun"
Bakti Lubis," Anggota DPRD Kepri"
Herry Andrianto,
