name,status
Yulius Maulana," Wakil Bupati Empat Lawang"
Joncik Muhammad,dahi behuk anak kapot Bupati Empat Lawang
Cik Ujang," Bupati Lahat"
Haryanto," Wakil Bupati Lahat"
Gaharu," Ketua DPC Gerindra Lahat"
Hensyi Fitriansyah," Pengusaha Muda"
Sri Marhaeni Wulansih," Wakil Ketua DPRD Kab. Lahat"
Sri Meliyana," Anggota DPR-RI"
Marwan Mansyur," Mantan Wakil Bupati Lahat"
