name,status
Ya'atulo Gulo," Bupati Nias"
Arota Lase," Wakil Bupati Nias"
Arosökhi Waruwu," Mantan Wakil Bupati Nias"
Enanöi Dohare," Mantan Lurah Tualang"
Ameyunus Zai," Wakil Ketua II DPRD Nias"
Alinuru Laoli," Ketua DPRD Nias"
Fo'arota Gulo," Anggota DPRD Nias"
Sabayuti Gulo," Wakil Ketua I DPRD Nias"
Faigiasa Bawamenewi," Mantan Cabup Nias 2015"
Firman Yanus Larosa," Mantan Sekda Nias"
