wilayah,bupati,wakil
Kabupaten Bulungan,Syarwani,Ingkong Ala
Kabupaten Malinau,Wempi Wellem Mawa,Jakaria
Kabupaten Nunukan,Asmin Laura Hafid,Hanafiah
Kabupaten Tana Tidung,Ibrahim Ali,Hendrik
Kota Tarakan,Khairul,Effendhi Djuprianto
