wilayah,bupati,wakil
Kabupaten Majene,Andi Achmad Syukri Tammalele,Arismunandar Kalma
Kabupaten Mamasa,"Yakub F Solon
(Penjabat)",
Kabupaten Mamuju,Sitti Sutinah Suhardi,Ado Mas'ud
Kabupaten Mamuju Tengah,Aras Tammauni,Muhammad Amin Jasa
Kabupaten Pasangkayu,Yaumil Ambo Djiwa,Herny Agus
Kabupaten Polewali Mandar,Andi Ibrahim Masdar,Muhammad Natsir Rahmat
