wilayah,bupati,wakil
Kabupaten Boalemo,Sherman Moridu(Penjabat),
Kabupaten Bone Bolango,Hamim Pou,Merlan S. Uloli
Kabupaten Gorontalo,Nelson Pomalingo,Hendra Hemeto
Kabupaten Gorontalo Utara,Thariq Modanggu,Lowong
Kabupaten Pohuwato,Saipul A. Mbuinga,Suharsi Igirisa
Kota Gorontalo,Marten Taha,Ryan Kono
