wilayah,bupati,wakil
Kabupaten Bangka,Mulkan,Syahbudin
Kabupaten Bangka Barat,Sukirman,Bong Ming Ming
Kabupaten Bangka Selatan,Riza Herdavid,Debby Vita Dewi
Kabupaten Bangka Tengah,Algafry Rahman,Herry Erfian
Kabupaten Belitung,Sahani Saleh,Isyak Meirobie
Kabupaten Belitung Timur,Burhanudin,Khairil Anwar
Kota Pangkalpinang,Maulan Aklil,Muhammad Sopian
