wilayah,bupati,wakil
Kabupaten Bantul,Abdul Halim Muslih,Joko B Purnomo
Kabupaten Gunungkidul,Sunaryanta,Heri Susanto
Kabupaten Kulon Progo,"Ni Made Dwipanti Indrayanti, ST, MT(Penjabat)",
Kabupaten Sleman,Kustini Sri Purnomo,Danang Maharsa
Kota Yogyakarta,Sumadi(Penjabat),
