name,status
Yohanis Fransiskus Lema," Anggota DPR RI"
Julie Sutrisno Laiskodat," Ketua TP PKK Nusa Tenggara Timur"
Josef Nae Soi," Wakil Gubernur Nusa Tenggara Timur"
Ayub Titu Eki," Mantan Bupati Kupang"
Jefirstson Richset Riwu Kore," Mantan Wali Kota Kupang"
Raymundus Sau Fernandes," Mantan Bupati Timor Tengah Utara"
Emanuel Melkiades Laka Lena," Anggota DPR RI"
Emelia Julia Nomleni," Ketua DPRD NTT"
Johanis Asadoma," Kapolda NTT"
Benny K. Harman," Anggota DPR RI"
